source,target
1667,105
1667,1118
809,642
1667,942
67,474
1686,256
1034,1313
474,67
984,1208
67,1344
1313,1034
674,1253
1344,67
1756,286
1756,286
1756,286
1756,286
1756,1130
1756,1130
1756,1130
1756,1130
1756,525
1756,525
1118,1667
1127,319
1686,1395
697,642
1034,1313
1238,1472
1253,674
1686,710
710,1686
1686,710
674,1253
1762,431
431,1762
1472,1238
1253,674
674,1253
642,809
642,697
1762,431
1231,1168
1395,1686
1052,697
1052,1238
95,44
1168,1231
431,1762
525,1756
44,95
1756,525
525,1756
1756,525
543,1513
1231,1168
1756,474
697,1052
697,642
474,1756
525,1756
1624,1052
1168,105
105,1168
105,1255
1255,105
105,1255
1713,593
19,1313
105,19
1686,1026
1026,1686
19,1313
1686,1026
19,1026
1313,19
1026,1686
1686,1026
19,1313
19,1313
1026,1686
1026,1686
1686,1026
1026,1686
1686,1026
105,557
105,557
1741,593
1756,474
44,36
36,44
1313,19
19,1313
1127,1771
1313,19
1052,697
1052,697
1052,1338
1338,1052
1052,1338
1338,1052
1338,1052
1052,1338
1052,1338
1338,1052
1052,1338
1338,1052
19,1313
1624,1285
1624,1052
1748,1362
1313,19
1313,1624
1624,1313
516,1445
516,1445
516,1445
1313,1624
557,105
19,1313
398,27
1313,19
1771,1127
105,557
431,483
19,1313
431,1585
431,1771
1238,1052
652,1728
1052,1624
1052,1238
431,1039
1771,431
27,398
431,1771
1127,1771
1362,1748
1771,1127
652,862
105,852
1686,475
431,495
431,394
398,27
1472,27
105,639
105,639
1349,1183
1585,3
3,1585
431,969
969,431
431,969
969,431
969,431
431,969
431,1312
1624,1313
1624,1052
1285,1624
1312,431
1052,1624
1624,1285
1624,1052
431,1312
1285,1624
1312,431
431,1312
1624,1285
198,809
431,1255
1285,1624
1624,1285
67,1304
1533,594
1686,358
358,1686
1686,358
431,358
1686,1624
358,1686
358,431
1686,358
1758,474
431,358
358,1686
358,431
431,358
474,1758
19,447
1052,1624
809,198
271,27
271,1644
1312,431
27,398
27,1472
27,271
431,1312
1161,257
1312,431
431,1312
198,809
431,1190
1190,431
431,1190
1190,431
431,1190
809,198
95,44
1255,431
431,1255
1312,431
1313,1034
95,868
431,1312
674,1724
44,1406
1406,44
1624,1686
296,1565
1565,296
766,1513
44,95
516,1724
674,70
19,1313
1562,1565
1034,1313
1332,1342
639,105
105,639
639,105
105,639
639,105
483,431
3,928
3,1461
105,639
431,483
1313,1034
198,809
342,975
1342,1332
856,1398
1332,1342
1332,1313
1342,1332
32,1565
483,431
1313,1332
1313,19
1255,431
639,105
105,639
19,1313
105,494
494,105
105,494
105,358
1332,1313
1332,1342
431,1255
431,483
494,105
105,494
1313,1332
144,1472
1724,516
1724,674
1332,1313
868,95
1255,431
674,1724
431,1255
1332,1436
398,27
