source,target,time
48,13,0
67,13,29340
67,13,29340
75,147,40860
67,48,109020
67,13,545460
67,13,607740
48,50,881160
48,50,881160
48,13,1146780
67,48,1208700
67,13,1226460
67,13,1226460
48,13,1302660
48,67,1302660
48,147,1302660
48,50,1302660
48,13,1309800
48,147,1309800
48,147,1309800
48,147,1403340
48,50,1469640
48,13,1488960
48,67,1488960
48,147,1488960
48,50,1488960
67,13,1497480
67,13,1822260
48,13,1827660
48,67,1827660
48,147,1827660
48,50,1827660
48,13,1897980
48,67,1897980
48,147,1897980
48,50,1897980
48,38,1897980
48,147,1993320
48,147,1996260
48,147,2596860
75,49,2962380
67,147,2966940
67,147,3044880
75,49,3057180
75,49,3204840
67,147,3218400
75,49,3306420
75,49,4147200
75,49,4234980
75,49,4236240
75,49,4241580
67,13,4404180
67,13,4846800
67,147,4848120
67,50,4848120
67,13,4848120
67,48,4848120
48,13,4859220
48,67,4859220
48,147,4859220
48,50,4859220
48,13,4956540
48,67,4956540
48,147,4956540
48,50,4956540
107,54,5029500
67,147,5030820
67,50,5030820
67,13,5030820
67,48,5030820
50,67,5703480
48,13,5720100
48,67,5720100
48,147,5720100
48,50,5720100
67,13,6316140
67,13,6316140
67,13,6317760
67,13,6317880
107,54,6325860
107,54,6325860
67,50,6650400
48,147,6674220
67,13,6737100
48,27,6739260
67,13,6739260
67,13,6745440
67,50,6756600
48,13,6909180
67,147,7170960
67,13,7176720
67,13,7201440
67,13,7265040
67,13,7272360
96,67,7286340
75,49,7459620
67,13,7515840
67,13,7868340
67,50,7949760
67,13,7949760
67,50,7956480
48,13,7957440
48,67,7957440
48,147,7957440
48,50,7957440
67,50,7965720
67,50,8035860
67,13,8035860
67,48,8035860
67,147,8035860
48,147,8048520
67,50,8062440
48,67,8063580
48,13,8124240
48,67,8124240
48,147,8124240
48,50,8124240
151,66,8380200
151,129,8380200
151,66,8380200
151,129,8380200
48,27,8481720
48,13,8485500
48,67,8485500
48,147,8485500
48,50,8485500
48,67,8658480
48,67,8658480
67,50,9013740
50,67,9101340
50,67,9101340
67,147,9105780
48,107,9159480
48,50,9163380
48,13,9163380
48,107,9191940
67,147,9242340
48,13,9243720
67,50,9245100
48,50,9350340
48,50,9351000
48,13,9351000
48,147,9351120
48,67,9351120
50,67,9360840
48,13,9593340
48,67,9593340
48,147,9593340
48,50,9593340
48,13,9594240
48,50,9594240
67,50,9603660
67,50,9603660
50,67,9607500
50,67,9609540
50,67,9609540
67,13,9677400
67,13,9677400
48,13,9681480
48,50,9681480
48,13,9683100
48,67,9683100
48,147,9683100
48,50,9683100
67,50,9688980
67,50,9691860
67,50,9691860
67,13,9708180
67,13,9708180
48,67,9786120
67,48,9786480
48,67,9790560
48,67,9790560
48,136,9791040
48,67,9791040
67,147,9797460
67,147,9797460
67,50,9797640
67,13,9797640
