source,target
126,54
126,54
126,54
52,13
78,46
21,126
21,126
99,131
99,131
77,54
17,94
83,10
83,96
83,17
83,103
83,45
83,113
83,10
83,96
83,17
83,103
83,45
83,113
83,10
83,96
83,17
83,103
83,45
83,113
83,10
83,96
83,17
83,103
83,45
83,113
83,10
83,96
83,17
83,103
83,45
83,113
94,91
94,91
134,87
17,83
134,87
25,126
25,126
25,126
25,126
25,126
25,126
25,126
25,126
126,150
9,45
9,39
9,113
9,83
150,83
150,79
96,83
96,79
96,83
96,79
23,6
83,88
83,88
83,88
83,88
83,88
83,88
9,45
9,39
9,113
9,83
150,126
119,88
119,88
83,65
114,95
126,150
150,126
126,150
2,72
2,72
132,148
114,95
88,119
88,119
126,150
92,77
92,77
92,77
114,95
145,112
150,126
150,126
112,145
150,10
150,25
150,126
50,75
83,6
9,45
9,39
9,113
9,83
114,52
114,52
114,52
114,52
68,4
126,16
114,52
83,6
114,95
114,95
9,45
9,39
9,113
9,83
107,119
107,119
107,119
107,119
107,119
107,119
107,119
107,119
107,119
107,119
150,92
150,126
150,6
150,23
150,92
150,126
150,6
150,23
150,38
150,6
150,27
150,132
150,92
150,39
150,83
150,77
150,10
150,126
150,17
150,103
150,113
150,119
150,132
150,92
150,39
150,83
150,77
150,10
150,126
150,17
150,103
150,113
150,119
150,38
150,6
150,27
150,132
150,92
150,39
150,83
150,77
150,10
150,126
150,17
150,103
150,113
150,119
150,132
150,92
150,39
150,83
150,77
150,10
150,126
150,17
150,103
150,113
150,119
150,38
150,6
150,27
150,132
150,92
150,39
150,83
150,77
150,10
150,126
150,17
150,103
150,113
150,119
150,132
150,92
150,39
150,83
150,77
150,10
150,126
150,17
150,103
150,113
150,119
150,38
150,6
150,27
150,132
150,92
150,39
150,83
150,77
150,10
150,126
150,17
150,103
150,113
150,119
150,132
150,92
150,39
150,83
150,77
150,10
150,126
150,17
150,103
150,113
150,119
150,38
150,6
150,27
150,132
150,92
150,39
150,83
150,77
150,10
150,126
150,17
150,103
150,113
150,119
150,132
150,92
150,39
150,83
150,77
150,10
150,126
150,17
150,103
150,113
150,119
150,38
150,6
150,27
150,132
150,92
150,39
150,83
150,77
150,10
150,126
150,17
150,103
150,113
150,119
150,132
150,92
150,39
150,83
150,77
150,10
150,126
150,17
150,103
150,113
150,119
92,150
92,78
92,78
92,150
92,78
92,78
92,150
92,78
92,78
92,150
92,78
92,78
92,65
92,65
107,119
107,119
150,38
150,6
150,27
150,132
150,92
150,39
150,83
150,77
150,10
150,126
150,17
150,103
150,113
150,119
150,132
150,92
150,39
150,83
150,77
150,10
150,126
150,17
150,103
150,113
150,119
126,25
107,119
107,119
107,119
107,119
107,119
107,119
128,126
128,126
16,126
150,103
150,10
150,17
150,126
150,92
150,132
150,77
150,39
150,103
150,10
150,17
150,126
150,92
150,132
150,77
150,39
150,103
150,10
150,17
150,126
150,92
150,132
150,77
150,39
150,103
150,10
150,17
150,126
150,92
150,132
150,77
150,39
150,103
150,10
150,17
150,126
150,92
150,132
150,77
150,39
114,52
107,119
79,77
79,77
128,126
128,126
150,103
150,10
150,17
150,126
150,92
150,132
150,77
150,39
128,126
150,106
150,94
150,126
150,84
150,57
150,57
150,120
150,101
150,89
150,81
150,92
150,113
150,108
150,148
150,56
150,27
150,6
150,83
150,121
150,39
150,82
150,130
150,133
150,132
150,111
150,104
150,102
150,124
150,134
150,99
150,87
150,131
150,85
150,119
150,88
150,125
150,103
150,80
150,98
150,38
150,33
150,10
150,26
150,17
150,21
150,61
150,25
150,118
150,90
150,77
150,13
150,106
150,94
150,126
150,84
150,57
150,57
150,120
150,101
150,89
150,81
150,92
150,113
150,108
150,148
150,56
150,27
150,6
150,83
150,121
150,39
150,82
150,130
150,133
150,132
150,111
150,104
150,102
150,124
150,134
150,99
150,87
150,131
150,85
150,119
150,88
150,125
150,103
150,80
150,98
150,38
150,33
150,10
150,26
150,17
150,21
150,61
150,25
150,118
150,90
150,77
150,13
150,106
150,94
150,126
150,84
150,57
150,57
150,120
150,101
150,89
150,81
150,92
150,113
150,108
150,148
150,56
150,27
150,6
150,83
150,121
150,39
150,82
150,130
150,133
150,132
150,111
150,104
