source,target,time
2,402,0
10,970,0
10,271,0
113,54,0
119,2,172800
119,54,172800
54,119,172800
119,471,172800
119,271,172800
168,74,259200
271,2,345600
271,54,345600
271,113,345600
271,119,345600
271,471,345600
474,37,432000
37,474,432000
54,37,518400
113,37,518400
37,113,518400
168,10,604800
10,168,604800
168,439,604800
99,10,864000
10,99,864000
1632,37,950400
37,1632,950400
1127,113,1036800
10,2,1296000
1127,2,1468800
2,1127,1468800
113,4,1555200
4,113,1555200
2,168,1728000
1,113,1814400
1632,2,1814400
2,10,1814400
2,1632,1814400
1,2,1900800
505,121,1900800
121,505,1900800
168,2,1987200
471,2,2073600
4,99,2160000
7424,505,2246400
505,7424,2246400
91,4,2332800
7424,91,2332800
91,7424,2332800
91,297,2332800
74,168,2419200
74,312,2419200
10,4,2505600
4,10,2505600
297,91,2851200
2473,99,2851200
238,99,2851200
99,2473,2851200
99,238,2851200
121,40,2937600
40,121,2937600
121,119,3024000
119,121,3024000
121,4,3110400
4,121,3110400
99,4,3456000
37,31,3542400
119,91,3542400
91,119,3542400
7400,37,3628800
37,7400,3628800
7400,54,3628800
710,2,3715200
2,710,3715200
119,4,3974400
625,1,4233600
1,744,4233600
1,625,4233600
439,4,4233600
4,439,4233600
625,91,4233600
91,625,4233600
37,380,4320000
40,1401,4320000
1209,4,4406400
4,312,4406400
4,1209,4406400
917,45,4406400
1127,74,4406400
74,1127,4406400
7400,293,4406400
512,2,4492800
2,512,4492800
512,23,4579200
40,23,4579200
23,512,4579200
23,40,4579200
31,37,4579200
45,917,4665600
625,74,4665600
74,625,4665600
917,2,4838400
2,917,4838400
40,37,4838400
37,40,4838400
45,251,4924800
625,439,4924800
439,625,4924800
2891,40,5011200
44,40,5011200
40,2891,5011200
40,44,5011200
7552,625,5011200
625,7552,5011200
744,1,5356800
744,40,5356800
40,744,5356800
744,712,5356800
712,744,5356800
168,91,5443200
91,168,5443200
744,249,5529600
249,744,5616000
501,4,5702400
1115,402,5702400
402,1115,5702400
1469,625,5702400
625,1469,5702400
744,402,5788800
402,744,5788800
436,2,5961600
2,436,5961600
768,436,5961600
768,23,6134400
91,37,6220800
37,91,6220800
40,989,6220800
380,37,6307200
1087,23,6393600
23,1087,6393600
1115,917,6480000
917,1115,6480000
532,4,6652800
4,532,6652800
917,40,6739200
40,917,6739200
40,379,6739200
74,4,6825600
446,4,6825600
4,446,6825600
389,45,6825600
45,389,6825600
389,23,6912000
23,389,6912000
389,126,6912000
389,293,6912000
532,91,6998400
91,532,6998400
769,91,7084800
91,769,7084800
113,769,7084800
113,1127,7084800
768,2,7257600
