source,target
8,457
8,1346
8,1794
8,879
8,812
8,317
8,147
8,5679
708,19
708,5679
8,592
126,2331
34,158
58,73
120,362
6369,7444
158,34
104,87
87,126
87,7552
279,114
19,1199
104,35
708,34
35,104
35,114
1199,19
299,125
125,299
8,883
824,443
824,113
15,2828
288,34
34,288
708,116
207,34
34,207
118,58
417,58
58,118
704,96
96,704
1582,417
417,1582
85,34
154,43
398,85
85,398
824,761
26,7
7,26
43,154
761,824
3,396
983,34
34,983
125,43
43,125
1024,1
1,1024
983,12
12,983
1370,173
173,1370
2,164
173,125
125,173
376,173
173,376
103,27
27,103
280,29
85,7398
126,690
396,3
12,125
824,196
666,253
253,666
7,34
429,53
53,429
96,87
87,96
86,35
126,41
114,1879
158,118
118,158
114,15
15,374
114,35
114,98
114,104
114,126
114,279
114,164
114,832
96,5
5,96
154,12
19,292
279,64
376,114
43,34
34,43
43,134
114,897
87,7
88,95
95,2336
96,114
292,118
118,292
2336,157
43,2
2,43
157,2336
826,6
6,826
402,19
19,402
429,34
92,34
34,429
34,92
1893,826
826,1893
8,739
8,752
12,154
826,125
125,826
125,1032
824,376
376,824
8,1043
8,599
8,547
15,64
15,269
15,1070
2336,86
86,126
64,15
269,15
832,15
64,35
269,35
126,35
832,35
126,64
192,64
269,64
86,64
64,269
64,192
64,126
64,86
192,86
269,86
126,86
832,86
86,192
126,91
96,269
118,103
103,118
832,114
192,126
269,126
126,269
126,192
126,625
269,192
192,269
832,269
269,1070
429,125
125,429
126,2
2,126
3,7604
15,7552
233,35
35,86
35,64
35,233
35,126
35,192
126,54
233,64
233,86
86,233
88,7552
104,233
114,233
345,125
125,345
233,126
126,233
126,1700
126,512
126,7552
192,171
233,192
192,233
2336,233
269,233
824,233
233,269
824,374
708,7604
85,199
376,96
96,376
126,155
345,7
7,345
8,591
2336,98
7398,7552
95,7
173,7
7,95
7,7398
824,7379
173,2
120,34
34,120
173,7398
1879,761
8,319
19,2336
2336,22
73,53
53,73
2336,73
73,2336
24,708
376,64
2336,7398
104,376
832,96
279,269
1278,434
434,1278
7,96
8,189
8,393
2336,15
2336,19
2336,35
2336,64
126,168
1772,432
432,1772
2336,2
8,242
73,22
191,22
22,73
22,191
291,34
34,291
64,520
192,98
2336,292
706,27
27,706
88,29
269,98
279,824
85,73
73,85
351,1924
8,597
104,48
192,352
19,9
136,34
123,34
34,136
34,123
104,27
27,104
104,49
49,104
1,118
19,88
351,96
96,351
390,144
144,390
1,96
30,7565
235,144
1691,144
144,235
144,1691
235,1691
96,30
1065,95
95,1065
158,136
136,158
8,225
2336,7
824,2828
173,30
30,173
96,126
386,144
144,386
31,6
6,31
22,2336
603,118
118,603
222,118
118,222
173,1841
1382,603
603,1382
8,1068
8,602
191,11
5,158
157,12
12,157
96,15
158,82
824,87
824,96
250,96
96,824
96,250
824,126
824,164
824,171
1064,7
1210,12
12,1210
120,46
191,345
1064,12
104,12
12,1064
87,491
95,103
12,104
30,19
173,191
824,491
1147,491
96,19
19,96
103,73
73,103
191,85
85,191
118,115
115,118
454,120
120,454
824,801
15,80
96,31
31,96
104,7603
144,1561
8,309
824,9
824,60
1561,144
123,12
12,123
73,19
1370,19
19,73
19,1370
173,43
526,73
73,526
104,192
2336,352
8,649
36,222
96,95
85,647
647,188
179,30
603,120
120,603
238,222
222,238
250,238
238,250
96,111
1353,1
1,1353
8,148
53,245
118,85
85,118
222,173
173,222
173,21
53,177
1147,1
8,707
222,10
10,222
73,12
12,73
222,36
96,491
222,82
82,222
12,245
1147,35
1,1147
348,2
86,19
19,86
73,222
192,104
96,2
118,27
27,118
86,832
179,2
250,19
19,250
348,179
179,348
757,12
92,12
163,12
12,757
12,92
12,163
374,15
82,158
198,5
5,198
15,96
2369,58
58,120
22,19
19,22
179,177
179,7552
179,7603
58,634
58,82
279,101
1570,196
58,29
58,47
58,95
58,59
85,1322
484,1322
250,5
5,250
15,192
58,88
120,73
73,120
959,110
110,959
708,551
551,708
58,31
58,3
58,19
58,26
222,120
120,222
58,163
58,83
58,286
163,73
73,163
824,104
898,222
222,898
12,1127
12,97
391,222
222,391
824,958
19,15
97,19
19,97
898,12
1127,12
12,288
12,898
245,19
19,245
245,95
96,832
2336,164
111,7512
351,120
120,351
269,2
8,7512
58,13
163,58
58,96
980,82
82,980
980,7512
915,1407
63,1784
495,144
8,120
291,12
1784,12
12,291
12,1784
163,59
59,163
1784,63
163,96
96,163
144,495
85,5
5,85
1582,58
58,417
58,1582
1518,830
1881,1
58,87
114,192
1519,286
286,1519
58,10
10,58
53,7512
417,7512
8,118
280,27
27,280
15,358
34,27
27,34
1199,459
830,2336
19,53
1127,27
27,1127
2336,104
245,120
1065,1
85,222
8,372
120,245
222,5
1535,5
5,1535
222,31
58,125
222,85
222,150
2336,222
222,2336
706,286
286,706
27,222
104,2336
2336,188
192,832
8,401
97,12
1379,96
96,1379
8,395
53,19
495,349
110,19
19,110
222,27
286,7603
15,2336
43,173
53,417
58,85
526,1826
15,185
417,53
288,95
104,185
260,123
123,260
174,185
85,58
58,2336
417,82
288,19
19,288
371,24
82,288
158,5
82,19
111,49
49,111
417,754
24,371
53,754
1180,85
417,110
110,417
279,352
192,15
192,35
85,1180
114,86
104,114
824,302
82,31
82,2336
330,396
95,245
432,351
351,432
36,5
58,2
19,82
98,35
58,206
58,113
98,86
98,192
104,279
110,5
58,30
58,43
58,7514
520,417
59,5
5,59
6,19
751,12
12,44
12,751
58,15
15,55
35,7415
58,7600
58,7604
2336,7604
164,2
19,6
245,12
376,15
15,376
173,58
58,165
58,173
58,349
825,82
2336,82
82,825
58,245
163,120
120,163
154,58
58,154
2336,95
98,352
2336,54
292,58
58,292
491,104
491,176
491,824
5,2336
1180,7
824,33
824,55
824,74
953,98
98,953
824,99
417,412
412,417
824,832
491,53
1278,288
2336,491
491,2336
5,416
5,7447
58,36
36,58
103,85
85,103
104,491
19,708
19,302
164,82
82,164
238,118
118,238
371,417
5,36
58,194
279,96
288,1278
6,36
8,650
491,29
58,2369
85,2369
376,93
93,376
2369,95
95,2369
491,203
491,684
349,5
36,6
194,58
1573,1
1,1573
245,6
320,58
58,751
351,1893
245,177
245,7600
245,7604
1893,351
30,47
376,245
417,520
491,1622
491,1351
98,87
1,351
96,7
125,103
103,125
125,49
49,125
165,114
1009,125
125,1009
19,30
5,7578
92,58
82,73
73,82
2336,96
96,2336
